 T [K]	JGTF [A/cm ̂ 2]	JRLD	JFN
   300.000000     	   4.79265320E-04 	   0.00000000     	   3.92520975E-04
   335.000000     	   4.97049012E-04 	   0.00000000     	   3.92520975E-04
   370.000000     	   5.17918903E-04 	   1.08888687E-31 	   3.92520975E-04
   405.000000     	   5.42343420E-04 	   2.59963276E-28 	   3.92520975E-04
   440.000000     	   5.70913253E-04 	   1.82572686E-25 	   3.92520975E-04
   475.000000     	   6.04378176E-04 	   4.93820142E-23 	   3.92520975E-04
   510.000000     	   6.43699314E-04 	   6.25570202E-21 	   3.92520975E-04
   545.000000     	   6.90124813E-04 	   4.29282207E-19 	   3.92520975E-04
   580.000000     	   7.45298632E-04 	   1.78211067E-17 	   3.92520975E-04
   615.000000     	   8.11425620E-04 	   4.87446338E-16 	   3.92520975E-04
   650.000000     	   8.91525473E-04 	   9.39357082E-15 	   3.92520975E-04
   685.000000     	   9.89839435E-04 	   1.34530611E-13 	   3.92520975E-04
   720.000000     	   1.11250358E-03 	   1.49479051E-12 	   3.92520975E-04
   755.000000     	   1.26871211E-03 	   1.33456657E-11 	   3.92520975E-04
   790.000000     	   1.47280341E-03 	   9.85465251E-11 	   3.92520975E-04
   825.000000     	   1.74810132E-03 	   6.16456164E-10 	   3.92520975E-04
   860.000000     	   2.13414710E-03 	   3.33309780E-09 	   3.92520975E-04
   895.000000     	   2.70036538E-03 	   1.58435896E-08 	   3.92520975E-04
   930.000000     	   3.57166608E-03 	   6.71705607E-08 	   3.92520975E-04
   965.000000     	   4.97567141E-03 	   2.57150504E-07 	   3.92520975E-04
   1000.00000     	   7.32767070E-03 	   8.98430244E-07 	   3.92520975E-04
   1035.00000     	   1.13779576E-02 	   2.89113018E-06 	   3.92520975E-04
   1070.00000     	   1.29488418E-02 	   8.63782134E-06 	   3.92520975E-04
   1105.00000     	   1.61583871E-02 	   2.41284924E-05 	   3.92520975E-04
   1140.00000     	   2.17275824E-02 	   6.34026001E-05 	   3.92520975E-04
   1175.00000     	   3.09360120E-02 	   1.57572838E-04 	   3.92520975E-04
   1210.00000     	   4.60089929E-02 	   3.72162118E-04 	   3.92520975E-04
   1245.00000     	   7.07124248E-02 	   8.38885666E-04 	   3.92520975E-04
   1280.00000     	  0.111364536     	   1.81150134E-03 	   3.92520975E-04
   1315.00000     	  0.178508565     	   3.76017881E-03 	   3.92520975E-04
   1350.00000     	  0.289662600     	   7.52545334E-03 	   3.92520975E-04
   1385.00000     	  0.473768681     	   1.45611838E-02 	   3.92520975E-04
   1420.00000     	  0.778333724     	   2.73067523E-02 	   3.92520975E-04
   1455.00000     	   1.28079188     	   4.97418232E-02 	   3.92520975E-04
   1490.00000     	   2.10631371     	   8.81916285E-02 	   3.92520975E-04
   1525.00000     	   3.45551348     	  0.152470171     	   3.92520975E-04
   1560.00000     	   5.64702463     	  0.257467180     	   3.92520975E-04
   1595.00000     	   7.51377535     	  0.425305068     	   3.92520975E-04
   1630.00000     	   9.70861626     	  0.688221157     	   3.92520975E-04
   1665.00000     	   12.6293602     	   1.09234047     	   3.92520975E-04
   1700.00000     	   16.5060635     	   1.70256722     	   3.92520975E-04
