 F [eV/nm]	JGTF [A/cm ̂ 2]	JRLD	JFN
   1.00000000     	   3.61024703E-08 	   2.80841661E-09 	   1.16107341E-18
   1.05336106     	   8.87972007E-08 	   4.05247480E-09 	   3.36632367E-17
   1.10956943     	   2.28264085E-07 	   5.90435123E-09 	   8.25611749E-16
   1.16877723     	   3.46469193E-07 	   8.68813377E-09 	   1.72745814E-14
   1.23114443     	   5.67524808E-07 	   1.29151942E-08 	   3.10843284E-13
   1.29683959     	   1.00969282E-06 	   1.94002823E-08 	   4.84725671E-12
   1.36604023     	   1.96537349E-06 	   2.94557800E-08 	   6.59812691E-11
   1.43893361     	   4.22028597E-06 	   4.52174405E-08 	   7.89421584E-10
   1.51571655     	   1.00929301E-05 	   7.02013097E-08 	   8.35594616E-09
   1.59659672     	   2.71812041E-05 	   1.10258640E-07 	   7.87367966E-08
   1.68179286     	   8.35122919E-05 	   1.75244978E-07 	   6.64377581E-07
   1.77153504     	   2.97330495E-04 	   2.81954016E-07 	   5.04815398E-06
   1.86606598     	   1.25040452E-03 	   4.59354908E-07 	   3.47246969E-05
   1.96564114     	   5.07990830E-03 	   7.58056387E-07 	   2.17330686E-04
   2.07052994     	   1.58051774E-02 	   1.26760369E-06 	   1.24354661E-03
   2.18101549     	   5.32094836E-02 	   2.14854845E-06 	   6.53474638E-03
   2.29739666     	  0.185017437     	   3.69266309E-06 	   3.16735357E-02
   2.41998816     	  0.643032014     	   6.43769272E-06 	  0.142182052    
   2.54912114     	   2.18955255     	   1.13887481E-05 	  0.593415856    
   2.68514490     	   7.22165155     	   2.04525095E-05 	   2.31123066    
   2.82842708     	   22.9290714     	   3.73003386E-05 	   8.42983246    
   2.97935486     	   69.8630524     	   6.91116002E-05 	   28.8887672    
   3.13833642     	   204.006561     	   1.30149769E-04 	   93.3138504    
   3.30580115     	   570.790527     	   2.49215314E-04 	   284.950806    
   3.48220253     	   1530.86316     	   4.85440047E-04 	   824.969849    
   3.66801620     	   3939.07471     	   9.62322345E-04 	   2270.50098    
   3.86374521     	   9735.07617     	   1.94236578E-03 	   5955.74219    
   4.06991863     	   23137.9824     	   3.99370166E-03 	   14925.7705    
   4.28709364     	   52960.2227     	   8.36876780E-03 	   35820.3281    
   4.51585770     	   116904.000     	   1.78817417E-02 	   82502.3594    
   4.75682831     	   249222.250     	   3.89799923E-02 	   182747.094    
   5.01065731     	   513859.969     	   8.67331252E-02 	   390069.406    
   5.27803183     	   1026171.75     	  0.197095096     	   803816.438    
   5.55967283     	   1987525.75     	  0.457671076     	   1602016.62    
   5.85634327     	   3738638.75     	   1.08659601     	   3093205.25    
   6.16884327     	   6838935.00     	   2.63918114     	   5795330.00    
   6.49801874     	   12181246.0     	   6.56175566     	   10552090.0    
   6.84476042     	   21152100.0     	   16.7104549     	   18699022.0    
   7.21000338     	   35849572.0     	   43.6160088     	   32293452.0    
   7.59473753     	   59370640.0     	   116.755219     	   54424384.0    
   8.00000000     	   96178792.0     	   320.750183     	   89617400.0    
